knowledge,query
1991年2月，大众汽车在中国长春建立了第二家合资企业一汽大众,一汽大众是什么时候成立的？
2004年，大众汽车集团（中国）在北京成立。,大众汽车集团（中国）是什么时候成立的？
ID.生而电动，彰显不止于更环保的从油到电，而是更加智能的未来出行体验。全新MEB智能平台，每个ID.家族成员都能够随科技创新而不断进化，满足未来不同时代、不同趋势下多样的出行体验需求。,大众ID.系列所宣传的“生而电动”是什么意思
"第一款车型是KdF-Wagen, 译为“力量来自欢乐”，这辆车也就是广为人知的甲壳虫",大众汽车的第一款车型是什么？
1934年德国工程师费迪南德·保时捷设计出第一辆大众汽车,第一款大众汽车是谁设计的？
大众甲壳虫于1934年设计完毕，1945年开始批量生产,大众甲壳虫是哪年推出的？
大众第一代高尔夫于1974年开始量产。,大众高尔夫是哪年开始量产？
帕萨特于1973年5月开始量产。,大众帕萨特是哪年开始量产？
大众Polo于1975年开始量产。,大众Polo是哪年开始量产？
1955年8月5日下线的金色涂装的甲壳虫，标志着大众甲壳虫汽车销量突破百万。,大众甲壳虫哪一年销量突破100万？
1955年8月5日下线的金色涂装的甲壳虫，标志着大众汽车销量突破100万。,大众汽车哪一年销量突破100万？
1976年10月，第一百万辆高尔夫下线。,大众高尔夫哪一年销量突破100万？
1962年12月，大众汽车年产量首次突破100万辆。,大众汽车哪一年年产量突破100万？
2014年大众汽车年交付量首次突破1000万。,大众汽车哪一年年交付量首次突破1000万？
是由上海大众汽车有限公司生产的轿车”桑塔纳“，从那时起，“开桑塔纳，走遍天下都不怕！”，一句话点燃了中国人对汽车的热爱和渴望。,大众汽车进入中国市场的第一款车型是什么？
2022年，大众汽车在中国乘用车市场拥有15%的占有率，大众汽车致力于推出增强客户体验的产品组合，为消费者打造更具吸引力的可持续移动出行。,大众汽车在中国市场的占有率如何？
1900年，甲壳虫汽车的设计者，德国工程师费迪南德·保时捷发布了首辆供日常使用的电动车，是巴黎博览会正式展出的一场革命性创新，它由两个直接连接至车轮的轮毂电机驱动，无需变速箱或驱动轴。此时此刻，大部分汽车公司还未成立，仅有为数不多的品牌诞生。,大众汽车在电动车领域有着怎样的历史沿革或行业背景？
大众汽车集团产品范围广泛，从节能小型车到高档豪华车均有涉足，截至2022年统计数据，大众汽车集团约有330个车型。,大众汽车集团有多少个车型？
大众汽车集团（中国）有超过100个车型,大众汽车集团（中国）有多少个车型？
"大众汽车在纯电车领域有ID.3, ID.4, ID.5, ID. 6, ID.7, ID.Buzz等车型，部分车型尚未进入中国市场。",大众汽车电动车车型有哪些？
我觉得您可以了解一下ID.Buzz。这款车型是大众汽车电动车攻势的重要支柱，并将为经典的T系列车型注入未来驾驶感受。ID.BUZZ将大众汽车品牌设计基因中的传统与现代元素相结合，创造出全新的标志性设计。,大众汽车的ID.系列车型，还有哪些尚未进入中国市场
大众MEB平台是全新的模块化电驱动平台，针对纯电汽车打造，它围绕电池布局，将电池组、电机等核心组件布置在最佳位置，不仅可以优化重量分布，还提升动态操控性能，MEB平台下的产品具有高度集成化，标准化，长续航等特点，MEB平台还可灵活适配从紧凑型到厢型货车等多种车身类型，实现了一个平台满足所有需求的理念。,介绍一下大众汽车MEB平台？
大众汽车第一款MEB平台车型是ID.3，于2019年7月15日全球首发。,大众汽车第一款MEB平台车型是什么？
ID.UNYX ,大众汽车（安徽）第一款车型是什么？
在CLTC测试工况下，ID.UNYX两驱版车型续航为603km，四驱版车型续航为557km,ID.UNYX的续航有多少？
ID.UNYX在2024年上市销售,ID.UNYX上市时间？
“Black Label” 是大众汽车（安徽）有限公司生产的。这是大众汽车集团在中国第一家专注于新能源汽车的合资企业，是集团在中国首家拥有全面运营管理权的合资企业，担负着产品研发及数字化研发的重任，将成为集团全球电动出行中心之一。,“Black Label” 是哪家公司生产的？这是一个什么样的企业?
大众汽车集团的CEO是奥博穆博士，由于可能的人事变动，此信息截至2023年11月30日有效。,大众汽车集团CEO是谁？
大众汽车集团的CEO是奥博穆博士，由于可能的人事变动，此信息截至2023年11月30日有效。,大众集团CEO是谁？
大众乘用车品牌的CEO是施文韬，由于可能的人事变动，此信息截至2023年11月30日有效。,大众乘用车品牌的CEO是谁？
大众乘用车品牌全球的CEO是施文韬，由于可能的人事变动，此信息截至2023年11月30日有效。,大众品牌的CEO是谁？
大众汽车集团（中国）的CEO是贝瑞德，由于可能的人事变动，此信息截至2023年11月30日有效。,大众汽车集团（中国）的CEO是谁？
大众汽车集团（中国）的CEO是贝瑞德，由于可能的人事变动，此信息截至2023年11月30日有效。,大众中国的CEO是谁？
大众汽车（安徽）数字化销售服务有限公司的CEO是杨放，由于可能的人事变动，此信息截至2023年11月30日有效。,大众汽车（安徽）数字化销售服务有限公司的CEO是谁？
大众安徽销售公司的CEO是杨放，由于可能的人事变动，此信息截至2023年11月30日有效。,大众安徽销售公司的CEO是谁？
大众汽车（安徽）的CEO是葛皖镝博士，由于可能的人事变动，此信息截至2023年11月30日有效。,大众安徽的CEO是谁？
大众汽车（安徽）的CEO是葛皖镝博士，由于可能的人事变动，此信息截至2023年11月30日有效。,大众汽车（安徽）的CEO是谁？
